Date,HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA
01/08/2025,Alpha,Beta,H,1.90,3.50,4.20,1.80,3.60,4.60
02/08/2025,Gamma,Delta,A,2.10,3.30,3.50,2.20,3.20,3.40
03/08/2025,Epsilon,Zeta,D,1.45,4.50,7.50,1.50,4.30,7.00
04/08/2025,Eta,Theta,H,1.30,5.50,10.50,1.28,5.80,11.00
05/08/2025,Iota,Kappa,A,3.40,3.30,2.15,3.55,3.25,2.08
06/08/2025,Lambda,Mu,H,1.72,3.80,5.00,1.68,3.90,5.20
07/08/2025,Nu,Xi,D,2.55,3.20,2.85,2.60,3.15,2.82
08/08/2025,Omicron,Pi,A,6.80,4.50,1.45,7.10,4.60,1.43
09/08/2025,Rho,Sigma,H,1.98,3.45,3.90,1.92,3.50,4.10
10/08/2025,Tau,Upsilon,A,2.85,3.25,2.55,2.95,3.20,2.48
